title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,rating_norm,seasons_norm,votes_norm,success_score,is_successful,title_has_high_animal,title_has_low_animal,title_has_hero_keyword,title_word_count,title_has_character
Kirby Buckets,2014,2017,3,59,United States,Traditional/Live-Action,Streaming Era (2010+),3,5.0,680.0,25,"Comedy,Family,Sci-Fi",0.45569620253164556,0.0625,0.0009684755445513164,0.20439559989879605,0,0,0,0,2,1
Kit & Pup,2018,,1,52,British,Flash,Streaming Era (2010+),5,7.0,14.0,,Animation,0.7088607594936708,0.0,8.647103076351039e-06,0.28354646557323737,0,0,0,0,3,1
Kit and Kate,2014,2019,2,104,Coproduction,Flash,Streaming Era (2010+),5,7.4,54.0,5.0,"Adventure,Animation,Comedy",0.7594936708860759,0.03125,6.629445691869129e-05,0.31475154196866006,0,0,0,0,3,1
Kitty Is Not a Cat,2018,2020,3,130,Australia,Flash,Streaming Era (2010+),2,6.7,92.0,11.0,Animation,0.670886075949367,0.0625,0.00012105944306891453,0.29025969524051404,0,0,0,0,5,1
Kong: The Animated Series,2000,2001,2,40,Coproduction,Traditional,Modern (97-09),1,5.7,342.0,30.0,"Action,Adventure,Animation",0.5443037974683544,0.03125,0.0004813554045835411,0.22877935783848766,0,0,0,0,4,1
Krypto the Superdog,2005,2006,2,39,United States,Traditional,Modern (97-09),1,5.7,1537.0,30.0,"Action,Adventure,Animation",0.5443037974683544,0.03125,0.002203570100623456,0.22920991151249764,0,0,0,0,3,1
Kung Fu Panda: The Dragon Knight,2022,,1,11,United States,CGI,Streaming Era (2010+),1,6.1,3413.0,,"Action,Adventure,Animation",0.5949367088607593,0.0,0.0049072309958292145,0.23920149129326104,0,0,1,0,6,1
King Arthur and the Knights of Justice,1992,1993,2,26,United States,Traditional,Golden Age (85-96),1,7.2,644.0,30.0,"Adventure,Animation,Family",0.7341772151898733,0.03125,0.0009165929260932101,0.3048375343074726,0,0,0,0,7,1
Jessy and Nessy,2020,,1,10,United States,CGI/Live-Action,Streaming Era (2010+),3,8.5,75.0,,Animation,0.8987341772151897,0.0,9.655931768591992e-05,0.3595178107154973,1,0,0,0,3,1
Hero Elementary,2020,,1,40,United States,Flash,Streaming Era (2010+),3,6.4,132.0,30.0,"Action,Adventure,Animation",0.6329113924050632,0.0,0.0001787067969112548,0.2532092336612531,0,0,0,1,2,1
Hero Factory,2010,2014,1,11,Denmark,CGI,Streaming Era (2010+),4,5.7,363.0,88.0,"Adventure,Animation,Sci-Fi",0.5443037974683544,0.0,0.0005116202653507697,0.2178494240536795,0,0,0,1,2,1
Hey Arnold!,1996,2004,5,100,United States,Traditional,Golden Age (85-96),8,7.6,39334.0,15.0,"Animation,Comedy,Family",0.7848101265822783,0.125,0.05667599593009682,0.3718430496154356,1,0,0,0,2,1
Hi Hi Puffy AmiYumi,2004,2006,3,39,United States,Flash,Modern (97-09),2,6.1,5441.0,22.0,"Adventure,Animation,Comedy",0.5949367088607593,0.0625,0.007829951835635866,0.2618071715032127,0,0,0,0,4,1
Henry's World,2002,2005,2,26,Canada,Stop Motion,Modern (97-09),3,7.2,85.0,22.0,"Animation,Family",0.7341772151898733,0.03125,0.000110971156146505,0.3046361288649859,0,0,0,0,2,1
Highlander: The Animated Series,1994,1996,2,40,Coproduction,Traditional,Golden Age (85-96),2,6.3,829.0,30.0,"Action,Adventure,Animation",0.6202531645569619,0.03125,0.001183211937614034,0.2593345688071883,0,0,0,0,4,1
Hilda,2018,,2,26,Coproduction,Traditional,Streaming Era (2010+),5,8.6,16183.0,24.0,"Adventure,Animation,Drama",0.911392405063291,0.03125,0.02331114870999634,0.3813222492028155,1,0,0,0,1,0
Hilltop Hospital,1999,1999,2,52,United Kingdom,Stop Motion,Modern (97-09),0,7.3,92.0,10.0,"Animation,Comedy,Drama",0.7468354430379746,0.03125,0.00012105944306891453,0.3097019420759571,0,0,0,0,2,1
Histeria!,1998,2000,2,52,United States,Traditional,Modern (97-09),2,7.7,620.0,30.0,"Adventure,Animation,Comedy",0.7974683544303797,0.03125,0.0008820045137878058,0.3301453429005988,1,0,0,0,1,0
Hit-Monkey,2021,,1,10,United States,Traditional,Streaming Era (2010+),2,7.7,10996.0,22,"Action,Adventure,Animation",0.7974683544303797,0.0,0.015835728100490866,0.3229462737972746,1,0,0,0,1,0
HobbyKids Adventures,2019,2020,2,27,United States,Flash,Streaming Era (2010+),1,4.0,111.0,,"Animation,Comedy,Family",0.3291139240506329,0.03125,0.00014844193614402615,0.14262018010428917,0,0,0,0,2,1
Home Movies,1999,2004,4,52,United States,Traditional,Modern (97-09),5,8.2,11881.0,30.0,"Animation,Comedy,Drama",0.8607594936708859,0.09375,0.017111175804252646,0.38139409141941755,1,0,0,0,2,1
High School USA!,2013,2015,1,12,United States,Flash,Streaming Era (2010+),2,6.3,687.0,10.0,"Animation,Comedy",0.6202531645569619,0.0,0.0009785638314737258,0.24834590678065321,0,0,0,0,3,1
Henry Hugglemonster,2013,2015,2,49,Coproduction,CGI,Streaming Era (2010+),2,5.3,512.0,22,"Adventure,Animation,Family",0.49367088607594933,0.03125,0.0007263566584134872,0.2085874435949831,0,0,0,0,2,1
Helluva Boss,2019,2021,1,6,United States,Flash,Streaming Era (2010+),2,8.0,17301.0,20.0,"Action,Animation,Comedy",0.8354430379746834,0.0,0.02492239224988975,0.34040781325234587,1,0,0,0,2,1
Happy House of Frightenstein,2021,,1,10,Canada,Flash,Streaming Era (2010+),2,7.3,14.0,,Animation,0.7468354430379746,0.0,8.647103076351039e-06,0.2987363389909589,0,0,0,0,4,1
Happy Tree Friends,1999,,5,194,Coproduction,Flash,Modern (97-09),24,7.3,2544.0,,"Animation,Comedy,Horror",0.7468354430379746,0.125,0.003654842233604372,0.343397887773591,1,0,0,0,3,1
Harley Quinn,2019,,2,26,United States,Flash,Streaming Era (2010+),4,8.4,43130.0,23.0,"Action,Adventure,Animation",0.8860759493670886,0.03125,0.06214672980973491,0.38090456219926916,1,0,0,0,2,1
Harriet the Spy,2021,,1,10,United States,Flash,Streaming Era (2010+),2,6.8,311.0,23.0,"Adventure,Animation,Comedy",0.6835443037974682,0.0,0.0004366787053557274,0.27352689119532625,0,0,0,0,3,1
Harry and His Bucket Full of Dinosaurs,2005,2008,22,104,Coproduction,Traditional,Modern (97-09),3,6.1,409.0,11.0,"Adventure,Animation,Family",0.5949367088607593,0.65625,0.000577914722269461,0.4678066622248711,1,0,0,0,7,1
Harvey Beaks,2015,2017,2,52,United States,Traditional,Streaming Era (2010+),2,7.1,2578.0,22,"Adventure,Animation,Comedy",0.721518987341772,0.03125,0.0037038424843703613,0.30047105555780135,0,0,0,0,2,1
Harvey Girls Forever!,2018,2020,4,52,France,Flash,Streaming Era (2010+),2,6.7,366.0,23.0,"Adventure,Animation,Comedy",0.670886075949367,0.09375,0.0005159438168889453,0.30129591633396907,0,0,0,0,3,1
Haunted Tales for Wicked Kids,2013,2016,2,40,Brazil,Flash,Streaming Era (2010+),3,7.9,21.0,,"Animation,Horror",0.8227848101265822,0.03125,1.8735389998760584e-05,0.34005610789813256,1,0,0,0,5,1
Hazbin Hotel,2019,2019,1,1,United States,Flash,Streaming Era (2010+),0,7.6,36619.0,32.0,"Animation,Comedy,Drama",0.7848101265822783,0.0,0.05276318178804797,0.32711484607992336,1,0,0,0,2,1
HBO Storybook Musicals,1987,1993,1,18,United States,Traditional,Golden Age (85-96),6,7.8,39.0,,"Animation,Family,Musical",0.8101265822784809,0.0,4.46766992278137e-05,0.32406180208619934,1,0,0,0,3,1
He-Man and the Masters of the Universe,2002,2004,2,39,United States,Traditional,Modern (97-09),2,7.5,3943.0,30.0,"Action,Adventure,Animation",0.7721518987341771,0.03125,0.005671058434240222,0.32121602410223093,1,0,0,0,7,1
He-Man and the Masters of the Universe,2021,,2,18,United States,CGI,Streaming Era (2010+),2,5.9,2468.0,26.0,"Action,Adventure,Animation",0.569620253164557,0.03125,0.0035453122613039257,0.23967192933114878,0,0,0,0,7,1
Headspace Guide to Sleep,2021,2021,1,7,United States,Traditional,Streaming Era (2010+),0,6.8,637.0,20.0,"Animation,Documentary",0.6835443037974682,0.0,0.0009065046391708005,0.27364434767878,0,0,0,0,4,1
Hell Den,2019,2020,2,12,United States,Flash,Streaming Era (2010+),1,5.5,53.0,11.0,"Animation,Comedy,Short",0.5189873417721519,0.03125,6.48532730726328e-05,0.2185486500271289,0,0,0,0,2,1
Hello Kitty's Furry Tale Theater,1987,1987,1,13,Coproduction,Traditional,Golden Age (85-96),0,6.8,258.0,23.0,"Animation,Comedy,Family",0.6835443037974682,0.0,0.00036029596151462655,0.27350779550936594,0,0,0,0,5,1
Hoops,2020,2020,1,10,United States,Flash,Streaming Era (2010+),0,6.0,8088.0,25.0,"Animation,Comedy,Sport",0.5822784810126581,0.0,0.011644765476152733,0.23582258377410145,0,0,0,0,1,0
Hopeless Pictures,2005,2005,1,9,United States,Flash,Modern (97-09),0,7.0,88.0,17.0,"Animation,Comedy",0.7088607594936708,0.0,0.00011529470768468052,0.2835731274743895,0,0,0,0,2,1
Horrible Histories,2001,2002,2,26,United Kingdom,Traditional,Modern (97-09),1,7.1,186.0,24.0,"Adventure,Animation,Biography",0.721518987341772,0.03125,0.00025653072459841413,0.2996092276178584,0,0,0,0,2,1
Inside Job,2021,,1,10,United States,Traditional,Streaming Era (2010+),2,7.7,38223.0,30,"Adventure,Animation,Comedy",0.7974683544303797,0.0,0.05507484067712582,0.3327560519414333,1,0,0,0,2,1
Inspector Gadget,2015,2018,4,39,Canada,CGI,Streaming Era (2010+),3,4.7,893.0,22,"Action,Adventure,Animation",0.4177215189873418,0.09375,0.0012754477037617783,0.20021996952087714,0,0,0,0,2,1
Invader Zim,2001,2002,2,27,United States,Traditional,Modern (97-09),1,8.4,23909.0,24.0,"Action,Adventure,Animation",0.8860759493670886,0.03125,0.03444573510464436,0.3739793135229965,1,0,0,0,2,1
Invasion America,1998,1998,1,13,United States,Traditional,Modern (97-09),0,7.5,462.0,30.0,"Action,Adventure,Animation",0.7721518987341771,0.0,0.0006542974661105619,0.3090243338601985,0,0,0,0,2,1
Invincible,2021,,1,8,United States,Traditional,Streaming Era (2010+),2,8.7,334153.0,50.0,"Action,Adventure,Animation",0.9240506329113921,0.0,0.4815643762412196,0.4900113472248618,1,0,0,0,1,0
Iron Man,1994,1996,2,26,United States,Traditional,Golden Age (85-96),2,6.5,4093.0,30.0,"Action,Adventure,Animation",0.6455696202531644,0.03125,0.005887236011148998,0.27063715710405306,0,0,0,0,2,1
It's Pony,2020,2022,2,40,United Kingdom,Traditional,Streaming Era (2010+),2,6.6,574.0,11.0,"Action,Adventure,Animation",0.6582278481012657,0.03125,0.0008157100568691145,0.27443256675472355,0,0,0,0,2,1
Jack,2011,2014,3,39,Canada,CGI,Streaming Era (2010+),3,7.6,11.0,,Animation,0.7848101265822783,0.0625,4.32355153817552e-06,0.33580013152079585,1,0,0,0,1,0
Jackie Chan Adventures,2000,2005,5,95,Coproduction,Traditional,Modern (97-09),5,7.4,23446.0,30.0,"Action,Adventure,Animation",0.7594936708860759,0.125,0.03377846698391927,0.3559920851004102,1,0,0,0,3,1
James Bond Jr.,1991,1992,1,65,United States,Traditional,Golden Age (85-96),1,6.1,767.0,30.0,"Action,Adventure,Animation",0.5949367088607593,0.0,0.0010938585391584064,0.23824814817909334,0,0,0,0,3,1
Jane and the Dragon,2005,2006,1,26,Coproduction,CGI,Modern (97-09),1,7.2,992.0,,"Animation,Family,Fantasy",0.7341772151898733,0.0,0.0014181249045215703,0.2940254173020797,0,0,0,0,4,1
Jelly Jamm,2011,2014,2,78,Coproduction,CGI,Streaming Era (2010+),3,7.1,222.0,,"Adventure,Animation,Comedy",0.721518987341772,0.03125,0.0003084133430565203,0.2996221982724729,0,0,0,0,2,1
Insektors,1994,1995,2,26,France,CGI,Golden Age (85-96),1,7.6,130.0,12.0,"Animation,Comedy,Family",0.7848101265822783,0.03125,0.0001758244292191378,0.3249055067402161,1,0,0,0,1,0
Infinity Train,2019,2021,4,40,United States,Traditional,Streaming Era (2010+),2,8.4,11076.0,11.0,"Action,Adventure,Animation",0.8860759493670886,0.09375,0.015951022808175546,0.39123063544887937,1,0,0,0,2,1
Hotel Transylvania: The Series,2017,2020,2,52,Coproduction,Toon Boom Harmony,Streaming Era (2010+),3,5.6,1009.0,21.0,"Animation,Comedy,Family",0.5316455696202531,0.03125,0.001442625029904565,0.2239563841055774,0,0,0,0,4,1
House of Mouse,2001,2003,3,52,United States,Traditional,Modern (97-09),2,7.5,5234.0,30.0,"Animation,Comedy,Family",0.7721518987341771,0.0625,0.007531626779501754,0.3326186661885463,1,0,0,0,3,1
Housebroken,2021,,1,11,United States,Flash,Streaming Era (2010+),2,6.4,2421.0,21.0,"Animation,Comedy",0.6329113924050632,0.0,0.0034775766205391756,0.2540339511171601,0,0,0,0,1,0
Hoze Houndz,1999,1999,6,78,Canada,Traditional,Modern (97-09),0,7.5,39.0,,"Animation,Family",0.7721518987341771,0.15625,4.46766992278137e-05,0.36355942866847785,1,0,0,0,2,1
Hulk and the Agents of S.M.A.S.H.,2013,2015,2,52,United States,Traditional,Streaming Era (2010+),2,6.1,3740.0,23.0,"Action,Adventure,Animation",0.5949367088607593,0.03125,0.005378498113490345,0.2502568080726763,0,0,0,0,6,1
Human Resources,2022,,1,10,United States,Flash,Streaming Era (2010+),1,7.1,12267.0,30,"Animation,Comedy,Romance",0.721518987341772,0.0,0.017667472768831228,0.2930244631289166,0,0,0,0,2,1
Hurricanes,1993,1997,5,65,Coproduction,Traditional,Golden Age (85-96),4,6.9,219.0,30.0,"Action,Adventure,Animation",0.6962025316455696,0.125,0.0003040897915183448,0.3223070351061074,1,0,0,0,1,0
Huxley Pig,1989,1990,1,26,United Kingdom,Stop-motion,Golden Age (85-96),1,7.6,68.0,10.0,"Animation,Family",0.7848101265822783,0.0,8.647103076351038e-05,0.31394566839060223,0,0,1,0,2,1
I Am Groot,2022,2022,1,5,United States,CGI,Streaming Era (2010+),0,6.7,46277.0,4.0,"Action,Adventure,Animation",0.670886075949367,0.0,0.06668213537328103,0.28502496422306706,0,0,0,0,3,1
I Am Weasel,1997,2000,5,79,United States,Traditional,Modern (97-09),3,6.5,6544.0,30.0,"Adventure,Animation,Comedy",0.6455696202531644,0.125,0.009419577617838399,0.3043327425057254,0,0,0,0,3,1
I Heart Arlo,2021,2021,1,20,United States,Flash,Streaming Era (2010+),0,6.7,314.0,11.0,"Adventure,Animation,Comedy",0.670886075949367,0.0,0.0004410022568939029,0.2684646809439703,0,0,0,0,3,1
Inanimate Insanity,2011,,3,41,United States,Flash,Streaming Era (2010+),12,8.4,757.0,20,"Adventure,Animation,Comedy",0.8860759493670886,0.0625,0.0010794467006978213,0.3765752414220099,1,0,0,0,2,1
Problem Child,1993,1994,2,26,United States,Traditional,Golden Age (85-96),1,3.8,276.0,30.0,"Adventure,Animation,Comedy",0.30379746835443033,0.03125,0.0003862372707436797,0.13255304665945805,0,0,0,0,2,1
Project G.e.e.K.e.R.,1996,1996,1,13,United States,Traditional,Golden Age (85-96),0,7.8,115.0,25.0,"Adventure,Animation,Comedy",0.8101265822784809,0.0,0.00015420667152826018,0.32408918457927444,1,0,0,0,2,1
The Savage Dragon,1995,1996,2,26,Coproduction,Traditional,Golden Age (85-96),1,6.5,215.0,22.0,"Action,Adventure,Animation",0.6455696202531644,0.03125,0.0002983250561341108,0.26923992936529934,0,0,0,0,3,1
The Shivering Truth,2018,2020,2,12,United States,Stop-motion,Streaming Era (2010+),2,8.1,3398.0,11.0,"Animation,Comedy,Fantasy",0.8481012658227846,0.03125,0.004885613238138337,0.3513994096386484,1,0,0,0,3,1
The Shoe People,1987,1988,2,26,United Kingdom,Traditional,Golden Age (85-96),1,7.2,375.0,5.0,"Animation,Family",0.7341772151898733,0.03125,0.0005289144715034718,0.3047406146938252,0,0,0,0,3,1
The Simpsons,1989,,33,722,United States,Traditional,Golden Age (85-96),34,8.6,468353.0,22.0,"Animation,Comedy",0.911392405063291,1.0,0.6749712483822712,0.8832997741208841,1,0,0,0,2,0
The Smoggies,1988,1991,1,52,Coproduction,Traditional,Golden Age (85-96),3,6.6,129.0,30.0,"Animation,Family",0.6582278481012657,0.0,0.00017438324537307926,0.26333473505184957,0,0,0,0,2,0
The Smurfs,2021,,1,52,Coproduction,CGI,Streaming Era (2010+),2,6.4,783.0,12.0,"Adventure,Animation,Comedy",0.6329113924050632,0.0,0.0011169174806953425,0.2534437863321991,0,0,0,0,2,0
The Snoopy Show,2021,,2,19,United States,Traditional,Streaming Era (2010+),2,8.1,1009.0,,"Action,Adventure,Animation",0.8481012658227846,0.03125,0.001442625029904565,0.35053866258659,1,0,0,0,3,1
The Spectacular Spider-Man,2008,2009,2,26,United States,Traditional,Modern (97-09),1,8.4,23018.0,23.0,"Action,Adventure,Animation",0.8860759493670886,0.03125,0.03316164029780623,0.373658289821287,1,0,0,0,3,1
The Spooktacular New Adventures of Casper,1996,1998,4,52,United States,Traditional,Golden Age (85-96),2,5.9,1386.0,25.0,"Adventure,Animation,Comedy",0.569620253164557,0.09375,0.0019859513398686216,0.26115708910078994,0,0,0,0,6,1
The Ripping Friends,2001,2002,1,13,Coproduction,Flash,Modern (97-09),1,6.3,544.0,30.0,"Animation,Comedy",0.6202531645569619,0.0,0.0007724745414873594,0.2482943844581566,0,0,0,0,3,1
The Ricky Gervais Show,2010,2012,3,39,Coproduction,Flash,Streaming Era (2010+),2,8.4,17698.0,30.0,"Animation,Comedy,Talk-Show",0.8860759493670886,0.0625,0.025494542236774977,0.38267901530602916,1,0,0,0,4,1
The Pirates of Dark Water,1991,1993,2,21,United States,Traditional,Golden Age (85-96),2,8.2,3193.0,30.0,"Action,Adventure,Animation",0.8607594936708859,0.03125,0.0045901705496963425,0.3563888401057784,1,0,0,0,5,1
The PJs,1999,2001,3,46,United States,Stop Motion,Modern (97-09),2,6.8,4416.0,30.0,"Animation,Comedy",0.6835443037974682,0.0625,0.006352738393425896,0.29688090611734375,0,0,0,0,2,0
The Plucky Duck Show,1992,1992,1,13,United States,Traditional,Golden Age (85-96),0,6.5,216.0,,"Adventure,Animation,Comedy",0.6455696202531644,0.0,0.0002997662399801693,0.25830278966126086,0,1,0,0,4,1
The Poddington Peas,1989,1989,1,13,United Kingdom,Traditional,Golden Age (85-96),0,6.7,258.0,5,"Adventure,Animation,Family",0.670886075949367,0.0,0.00036029596151462655,0.26844450437012546,0,0,0,0,3,1
The Pole,2021,,1,6,United States,Flash,Streaming Era (2010+),2,5.5,162.0,13.0,"Animation,Comedy,Fantasy",0.5189873417721519,0.0,0.00022194231229300998,0.207650422286934,0,0,0,0,2,0
The Pondles,1987,1987,1,13,United Kingdom,Traditional,Golden Age (85-96),0,5.6,15.0,11.0,"Animation,Family",0.5316455696202531,0.0,1.0088286922409545e-05,0.21266074991983186,0,0,0,0,2,0
The Popeye Show,2001,2002,1,45,United States,Traditional,Modern (97-09),1,7.4,175.0,30.0,"Animation,Family",0.7594936708860759,0.0,0.00024067770229177057,0.30385763778000335,0,0,0,0,3,1
The Powerpuff Girls,1998,2005,6,78,United States,Traditional,Modern (97-09),7,7.3,52881.0,30.0,"Action,Adventure,Animation",0.7468354430379746,0.15625,0.07619971349265141,0.3724716055883527,1,0,0,0,3,1
The Prince,2021,2021,1,13,United States,Flash,Streaming Era (2010+),0,5.8,3702.0,14,"Animation,Comedy",0.5569620253164557,0.0,0.005323733127340123,0.2241157434084173,0,0,0,0,2,0
The Prince of Atlantis,1997,1997,1,26,United Kingdom,CGI,Modern (97-09),0,7.8,13.0,25.0,"Action,Adventure,Animation",0.8101265822784809,0.0,7.2059192302925326e-06,0.3240524343911999,1,0,0,0,4,1
The Proud Family,2001,2005,2,53,United States,Traditional,Modern (97-09),4,6.6,9030.0,30.0,"Animation,Comedy,Family",0.6582278481012657,0.03125,0.013002360659139846,0.27747922940529124,0,0,0,0,3,1
The Proud Family: Louder and Prouder,2022,,1,10,United States,Traditional,Streaming Era (2010+),1,3.3,5587.0,30,"Adventure,Animation,Comedy",0.24050632911392397,0.0,0.008040364677160407,0.09821262281485969,0,0,0,0,6,1
The Ratties,1988,1988,1,26,United Kingdom,Traditional,Golden Age (85-96),0,7.9,63.0,5.0,"Animation,Comedy,Family",0.8227848101265822,0.0,7.926511153321785e-05,0.32913374032851617,1,0,0,0,2,0
The Real Adventures of Jonny Quest,1996,1997,2,52,United States,Traditional,Golden Age (85-96),1,7.7,2949.0,21.0,"Action,Adventure,Animation",0.7974683544303797,0.03125,0.004238521691258067,0.3309844721949664,1,0,0,0,6,1
The Ren & Stimpy Show,1991,1996,5,52,United States,Traditional,Golden Age (85-96),5,7.5,26187.0,30.0,"Adventure,Animation,Comedy",0.7721518987341771,0.125,0.03772875190596564,0.3620429474701623,1,0,0,0,5,1
The Pink Panther,1993,1995,2,60,United States,Traditional,Golden Age (85-96),2,6.9,2050.0,30.0,"Adventure,Animation,Comedy",0.6962025316455696,0.03125,0.0029428974136514697,0.29015423701164067,0,0,0,0,3,1
The Summoner,2021,,1,6,United States,Flash,Streaming Era (2010+),2,6.2,22.0,,"Animation,Comedy,Short",0.6075949367088607,0.0,2.0176573844819093e-05,0.24304301882700546,0,0,0,0,2,0
The Super Mario Bros. Super Show!,1989,1990,1,65,United States,Traditional,Golden Age (85-96),1,6.3,5399.0,30.0,"Action,Adventure,Animation",0.6202531645569619,0.0,0.007769422114101408,0.25004362135131014,0,0,0,1,6,1
Theodore Tugboat,1993,2001,5,130,Canada,Traditional,Golden Age (85-96),8,7.3,265.0,15.0,"Animation,Family",0.7468354430379746,0.125,0.0003703842484370361,0.34257677327729913,1,0,0,0,2,1
"This Is America, Charlie Brown",1988,1989,1,12,United States,Traditional,Golden Age (85-96),1,7.4,771.0,24.0,"Animation,Comedy,Family",0.7594936708860759,0.0,0.0010996232745426405,0.30407237417306604,0,0,0,0,5,1
The Zeta Project,2001,2002,2,26,United States,Traditional,Modern (97-09),1,6.9,1357.0,30.0,"Action,Adventure,Animation",0.6962025316455696,0.03125,0.001944157008332925,0.28990455191031106,0,0,0,0,3,1
Thunderbirds Are Go,2015,2020,3,78,Coproduction,CGI,Streaming Era (2010+),5,6.9,1978.0,22.0,"Action,Adventure,Animation",0.6962025316455696,0.0625,0.0028391321767352574,0.3010657957024116,0,0,0,0,3,1
TigerSharks,1987,1987,1,26,United States,Traditional,Golden Age (85-96),0,6.9,168.0,12.0,"Action,Adventure,Animation",0.6962025316455696,0.0,0.00023058941536936101,0.27853866001207017,0,0,0,0,1,0
Time Squad,2001,2003,2,26,United States,Traditional,Modern (97-09),2,7.4,1956.0,30.0,"Animation,Comedy,Family",0.7594936708860759,0.03125,0.0028074261321219705,0.3154368248874609,0,0,0,1,2,1
Time Traveler Luke,2020,2021,1,52,South Korea,CGI,Streaming Era (2010+),1,7.7,44.0,20.0,"Action,Adventure,Animation",0.7974683544303797,0.0,5.1882618458106236e-05,0.3190003124267664,0,0,0,0,3,1
